date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-08-20,1.019253,1.623254,-0.151,-1.652125,-1.652125,0.169875,0.879577,1.950422,3.874103,4.896187,6.107532,-1,52.51107609051172
2019-08-21,0.544703,1.296018,-0.13148,0.490751,0.490751,0.026296,0.368144,1.069371,2.909467,4.027047,5.171924,0,52.76877484067279
2019-08-22,0.733221,0.996428,-0.564016,-0.093914,-0.093914,0.34593,0.188005,0.827223,2.526791,3.754089,4.859822,0,52.71921738871873
2019-08-23,2.869329,3.373401,-0.639783,-3.026885,-3.026885,2.69872,2.865452,3.423808,5.056223,6.530438,7.616625,-1,51.12346743579831
2019-08-26,0.019183,0.364473,-0.575484,1.066305,1.066305,0.947631,1.565317,2.124177,3.379052,4.986764,6.023403,1,51.668599407292874
2019-08-27,0.095438,0.439015,-0.324489,0.498753,0.498753,0.221416,0.759687,1.417573,2.379271,4.079404,5.101482,0,51.92629815745393
2019-08-28,0.481232,0.481232,-0.635226,-0.839855,-0.839855,0.573628,1.541867,2.098171,2.827719,4.486622,5.604107,-1,51.49019258025829
2019-08-29,0.939417,1.246166,-0.134202,0.404235,0.404235,-0.226227,1.050613,1.368865,2.057132,3.595859,4.798057,0,51.6983338784653
2019-08-30,0.845179,0.941222,-0.595467,-0.191718,-0.191718,0.149827,0.950826,1.327955,1.890127,3.300038,4.648483,0,51.5992189745572
2019-09-03,0.096358,0.211987,-0.655232,-0.326546,-0.326546,0.385431,0.899981,1.485193,2.043746,3.162844,4.624526,0,51.43072363791343
2019-09-04,-1.170474,0.302058,-1.415896,2.081326,2.081326,-1.442326,-1.159147,-0.709836,-0.130262,0.718142,2.209427,1,52.501164600120916
2019-09-05,-0.204309,0.910104,-0.390045,1.642439,1.642439,-2.332838,-2.644874,-2.126053,-1.697623,-1.092125,0.293462,1,53.3634642641214
2019-09-06,1.768247,1.843491,-0.037622,-1.263001,-1.263001,-0.707299,-1.405192,-0.802608,-0.580324,-0.031603,1.254703,-1,52.6894829175463
2019-09-09,-1.686835,0.256692,-1.998533,2.595937,2.595937,-2.310231,-3.357169,-3.196431,-3.03722,-2.656399,-1.549322,1,54.05726859147809
2019-09-10,-1.676582,0.0,-2.397692,1.705171,1.705171,-2.657292,-4.375338,-4.627126,-4.462773,-4.165134,-3.355568,1,54.97903719782343
2019-09-11,-1.812045,0.0,-2.007461,1.478277,1.478277,-2.895719,-5.075502,-5.624445,-5.648428,-5.39563,-4.834488,1,55.791779409869854
2019-09-12,0.835034,1.837076,-1.837076,-4.263635,-4.263635,1.447393,-0.488031,-1.341003,-1.300798,-1.141585,-0.745345,-1,53.41302171607544
2019-09-13,0.465116,1.804651,-0.781395,-0.259788,-0.259788,1.931163,0.066977,-1.014574,-0.935814,-0.95107,-0.618915,0,53.2742608506041
2019-09-16,0.489274,0.809183,-0.658638,-1.134884,-1.134884,2.574332,1.418893,0.317401,0.159014,0.128717,0.352528,-1,52.66965993676469
2019-09-17,0.586344,0.624172,-0.983545,-0.508092,-0.508092,2.114621,2.122186,0.923019,0.575941,0.611311,0.808902,-1,52.40204969621281
2019-09-18,0.494673,0.532725,-1.331811,-0.586344,-0.586344,1.297565,2.646499,1.539827,1.129186,1.097412,1.314688,-1,52.09479349409771
2019-09-19,-1.836238,0.562114,-1.836238,1.541096,1.541096,-0.434701,1.000562,0.176129,-0.393479,-0.358254,-0.221098,1,52.89762421575332
2019-09-20,0.44885,1.458762,-0.09351,0.187371,0.187371,-0.725641,0.869647,0.15211,-0.553581,-0.478773,-0.481267,0,52.99673911966142
2019-09-23,-1.573491,0.277675,-1.77712,1.028614,1.028614,-1.410589,-0.25361,-0.625694,-1.340244,-1.4602,-1.487104,1,53.541871091155976
2019-09-24,1.480787,2.136832,-0.431115,-1.240281,-1.240281,0.007498,0.601687,0.804749,0.013121,-0.261668,-0.243674,-1,52.8778012349717
2019-09-25,-0.984398,0.204309,-1.764487,0.918463,0.918463,-0.427192,-0.768945,-0.004953,-0.762444,-1.105498,-1.159609,1,53.3634642641214
2019-09-26,0.277984,0.685693,-0.90808,0.222883,0.222883,-0.429948,-0.976649,-0.212503,-0.796887,-1.272053,-1.278107,0,53.48240214881111
2019-09-27,0.184877,0.942873,-0.868922,0.240919,0.240919,-0.440007,-1.151784,-0.337709,-0.856905,-1.442781,-1.422937,0,53.611251523891646
2019-09-30,-1.417409,0.454298,-1.780847,1.737844,1.737844,-1.773578,-2.49682,-1.980738,-2.280574,-2.875522,-3.019565,1,54.54293162062779
2019-10-01,2.304833,3.420074,-0.092937,-2.235144,-2.235144,0.639405,-0.094796,0.053284,0.131041,-0.530855,-0.806691,-1,53.323818302558145
2019-10-02,0.658514,0.771402,-0.88429,-1.208178,-1.208178,1.610536,1.238006,0.883035,1.372531,0.742803,0.417059,-1,52.679571427155494
2019-10-03,-1.485332,0.037133,-1.708132,1.335842,1.335842,0.23394,-0.00557,-0.450551,0.038062,-0.443372,-0.868301,1,53.38328724490301
2019-10-04,-2.067465,0.072543,-2.357635,2.376532,2.376532,-1.712006,-2.023939,-2.593399,-2.104643,-2.538266,-3.051626,1,54.6519580149267
2019-10-07,0.492701,1.021898,-0.091241,-0.616612,-0.616612,-1.186131,-1.273723,-1.787105,-1.47354,-1.733577,-2.254258,-1,54.314967341639154
2019-10-08,0.444033,1.221092,-0.518039,-1.368613,-1.368613,0.277521,0.225717,-0.278754,-0.237743,-0.210176,-0.779525,-1,53.5716055623284
2019-10-09,-0.696864,0.843572,-0.861911,0.888067,1.338043,-0.453816,-0.927261,-1.32607,-1.69344,-1.396091,-1.944573,1,54.28841654636866
2019-10-10,-1.874212,0.198234,-2.054424,1.760499,1.760499,-1.502315,-2.322356,-2.749998,-3.228453,-2.965805,-3.414465,1,55.244163472547164
2019-10-11,-1.705045,0.773422,-2.074178,2.522977,2.522977,-3.224936,-4.191699,-4.714617,-5.312946,-5.074852,-5.500614,1,56.63796107322415
2019-10-14,0.655331,1.328374,-0.088558,-0.755845,-0.755845,-1.813674,-3.165467,-3.67249,-4.276899,-4.198718,-4.507487,-1,56.20986609587336
2019-10-15,0.496894,0.834073,0.0,-0.194828,-0.194828,-0.720497,-2.481515,-3.1015,-3.760424,-3.931755,-4.043621,0,56.10035342724874
2019-10-16,-0.161059,0.232641,-0.590551,-0.834073,-0.834073,0.597709,-1.130517,-2.014598,-2.633016,-3.135194,-3.048927,-1,55.632435661307184
2019-10-17,1.72539,2.143117,-0.127134,-1.46743,-1.46743,1.939702,0.60331,-0.393117,-1.007956,-1.590219,-1.516717,-1,54.816068495196376
2019-10-18,0.733272,1.301558,-0.678277,-0.926262,-0.926262,2.03483,1.480599,0.6237,0.038296,-0.594002,-0.496614,-1,54.308327940664036
2019-10-21,-0.126973,0.308362,-0.562307,1.063245,1.063245,0.478868,0.51696,-0.39328,-0.891739,-1.478305,-1.493132,1,54.885758375230225
2019-10-22,2.051377,2.439475,-0.166328,-1.850172,-1.850172,1.545001,2.467196,1.551982,1.068617,0.487897,0.295164,-1,53.87027726616556
2019-10-23,-0.240163,0.923702,-0.480325,0.036962,0.036962,0.86089,2.355441,1.664224,1.080144,0.584032,0.140485,0,53.89018866046095
2019-10-24,0.387025,0.718762,-0.589753,0.240163,0.240163,0.324364,1.883524,1.49918,0.887693,0.426125,-0.062008,0,54.01961272338095
2019-10-25,-0.239985,0.46151,-0.295366,-0.165868,-0.165868,0.350748,1.550674,1.57857,1.084865,0.662198,0.144564,0,53.93001144905172
2019-10-28,-0.530747,0.073206,-0.67716,0.867639,0.867639,-0.691801,0.34407,0.714983,0.202029,-0.140726,-0.610953,1,54.397929214993276
2019-10-29,-0.145985,0.930657,-0.437956,0.292826,0.292826,-0.729927,-0.231752,0.541363,0.022506,-0.309155,-0.769463,0,54.55722036935636
2019-10-30,0.601641,0.601641,-0.729262,0.091241,0.091241,-0.557885,-0.510483,0.488605,0.10781,-0.308941,-0.706569,0,54.60699885509482
2019-10-31,0.422096,0.660672,-0.4588,-0.656335,-0.656335,0.18352,0.04221,1.030158,0.848947,0.406184,0.032446,-1,54.24859375777789
2019-11-01,-0.345455,0.272727,-0.818182,0.935952,0.935952,-0.443636,-0.803636,-0.135758,-0.076667,-0.441206,-0.788011,1,54.756334312310216
2019-11-04,-0.342651,0.541028,-0.342651,0.818182,0.818182,-0.959423,-1.550947,-1.067628,-0.807033,-1.201243,-1.492775,1,55.204340683956396
2019-11-05,0.161667,0.305371,-0.287408,0.396754,0.396754,-1.038261,-1.659781,-1.540028,-1.031974,-1.440153,-1.728964,0,55.42336602120563
2019-11-06,0.017953,0.341113,-0.179533,0.053889,0.053889,-0.786355,-1.43088,-1.614602,-0.980251,-1.293166,-1.656275,0,55.45323311264871
2019-11-07,-0.035727,1.161129,-0.214362,0.502693,0.502693,-0.750268,-1.616649,-1.997142,-1.431761,-1.618305,-2.013621,0,55.731992632784106
2019-11-08,-0.902815,0.0,-1.274562,0.91104,0.91104,-1.118782,-2.094176,-2.652977,-2.357054,-2.39358,-2.742466,1,56.23973318731644
2019-11-11,-0.407585,0.318979,-0.443027,-0.106213,-0.106213,-0.666312,-1.672869,-2.395889,-2.255892,-2.157009,-2.541924,0,56.17999900443028
2019-11-12,-0.106026,0.459445,-0.300406,0.283537,0.283537,-0.622018,-1.634564,-2.37969,-2.511044,-2.237144,-2.639061,0,56.33929015879337
2019-11-13,0.0,0.622665,-0.071162,-0.671497,-0.671497,0.231276,-0.727629,-1.473048,-1.822629,-1.45668,-1.785408,-1,55.960973667181044
2019-11-14,-0.499198,0.427884,-0.802282,-0.213485,-0.213485,0.484935,-0.229988,-1.04475,-1.52077,-1.203067,-1.428548,0,55.84150530140873
2019-11-15,-0.035448,0.248139,-0.265863,0.58834,0.58834,-0.127614,-0.561857,-1.357675,-1.931053,-1.81425,-1.915002,1,56.17004330728259
2019-11-18,0.65848,0.65848,-0.409326,-0.407657,-0.407657,0.195764,-0.023136,-0.770007,-1.435309,-1.431571,-1.416622,0,55.94106227288565
2019-11-19,0.355429,1.208459,-0.017771,0.142374,0.142374,-0.060423,-0.058646,-0.736923,-1.383508,-1.577395,-1.411054,0,56.020707850067204
2019-11-20,-0.035562,0.675676,-0.76458,-0.053314,-0.053314,0.003556,0.090683,-0.519203,-1.143314,-1.499289,-1.257112,0,55.990840758624124
2019-11-21,-0.017784,0.640228,-0.195625,-0.017781,-0.017781,0.071136,0.152943,-0.295216,-0.95056,-1.398542,-1.195684,0,55.98088506147642
2019-11-22,0.053201,1.188154,-0.248271,0.284546,0.284546,-0.223444,-0.148963,-0.413785,-1.034758,-1.547792,-1.505586,0,56.14017621583951
2019-11-25,-0.176803,0.212164,-0.49505,0.301472,0.301472,-0.392504,-0.426096,-0.582273,-1.162482,-1.742574,-1.795733,0,56.30942306735029
2019-11-26,0.424704,0.619359,-0.159264,-0.088402,-0.088402,-0.21943,-0.35215,-0.39521,-0.92373,-1.485755,-1.699404,0,56.25964458161182
2019-11-27,0.512277,0.529942,-0.406289,0.17696,0.17696,-0.264971,-0.457516,-0.463993,-0.943296,-1.484543,-1.830065,0,56.35920155308875
2019-11-29,0.33844,0.623441,-0.089063,-0.830242,-0.830242,0.537941,0.384752,0.388315,0.032953,-0.525828,-0.944068,-1,55.891283787147195
